index,defense_action,text_snippet,top_contributing_features
1002,quarantine,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,"call (4.543000221252441), service (1.4229999780654907), won (1.0640000104904175), or (0.9279999732971191), cash (0.5139999985694885), customer (0.5059999823570251), me (0.3490000069141388), you (0.33799999952316284), have (0.23499999940395355), my (0.1679999977350235)"
1007,quarantine,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,"call (2.808000087738037), or (1.11899995803833), free (1.0820000171661377), orange (0.3659999966621399), me (0.3190000057220459), now (-0.16599999368190765), your (-0.164000004529953), my (0.15199999511241913), from (-0.1459999978542328), txt (-0.14100000262260437)"
1016,quarantine,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!","call (4.177000045776367), now (1.944000005722046), mobile (1.0640000104904175), in (-0.5770000219345093), me (0.3540000021457672), at (-0.2750000059604645), my (0.18000000715255737), from (-0.17499999701976776), your (-0.12600000202655792), txt (-0.125)"
1017,quarantine,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,"txt (4.263000011444092), free (0.9959999918937683), to (0.671999990940094), get (0.6200000047683716), call (-0.28600001335144043), your (-0.17900000512599945), for (0.1770000010728836), tone (0.16099999845027924), me (0.1550000011920929), from (-0.14100000262260437)"
1022,quarantine,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,"call (4.433000087738037), from (1.5019999742507935), out (1.156999945640564), it (-0.6579999923706055), what (-0.4090000092983246), me (0.35899999737739563), you (-0.3569999933242798), 150p (0.2750000059604645), is (0.2329999953508377), know (-0.23199999332427979)"
1048,quarantine,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!","txt (4.3520002365112305), now (1.406999945640564), or (0.9610000252723694), ur (0.4490000009536743), call (-0.30300000309944153), get (-0.2770000100135803), to (-0.24699999392032623), your (-0.17000000178813934), me (0.14300000667572021), my (0.13600000739097595)"
1050,quarantine,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,"stop (2.447999954223633), send (2.184999942779541), all (0.878000020980835), of (0.6890000104904175), get (0.6110000014305115), call (-0.39399999380111694), the (0.30000001192092896), and (0.2590000033378601), to (-0.24799999594688416), 18 (0.18199999630451202)"
1060,quarantine,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,"txt (4.269999980926514), win (2.8420000076293945), now (1.3380000591278076), or (0.9810000061988831), cash (0.5350000262260437), what (-0.4230000078678131), call (-0.26899999380111694), me (0.1509999930858612), my (0.14000000059604645), to (-0.11299999803304672)"
1064,quarantine,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,"reply (2.2850000858306885), now (1.3589999675750732), new (1.1890000104904175), to (1.0800000429153442), in (-0.8949999809265137), of (0.5490000247955322), have (-0.42100000381469727), call (-0.3499999940395355), your (0.21699999272823334), me (0.20900000631809235)"
1069,quarantine,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,"call (4.135000228881836), now (1.7109999656677246), service (1.4429999589920044), all (0.7379999756813049), you (0.42399999499320984), me (0.3370000123977661), know (-0.30000001192092896), will (-0.2630000114440918), cant (-0.2070000022649765), my (0.17399999499320984)"
1072,quarantine,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,"call (3.7799999713897705), claim (2.260999917984009), won (1.0199999809265137), from (0.996999979019165), that (-0.9229999780654907), to (0.7120000123977661), you (0.6060000061988831), me (0.375), we (-0.27399998903274536), are (-0.18199999630451202)"
1073,quarantine,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,"txt (4.0), chat (2.5769999027252197), been (1.090000033378601), this (0.7519999742507935), to (0.5230000019073486), call (-0.3089999854564667), you (-0.20900000631809235), now (-0.1679999977350235), your (-0.16699999570846558), me (0.13699999451637268)"
1089,quarantine,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99,"call (4.6479997634887695), from (1.472000002861023), you (0.6050000190734863), me (0.3790000081062317), are (-0.2280000001192093), my (0.1770000010728836), to (-0.1720000058412552), now (-0.13899999856948853), txt (-0.11999999731779099), your (-0.11900000274181366)"
1091,quarantine,WIN URGENT! Your mobile number has been awarded with a å£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,"call (3.0350000858306885), win (1.9869999885559082), claim (1.7640000581741333), mobile (0.8880000114440918), been (0.8050000071525574), from (0.6840000152587891), number (0.40700000524520874), me (0.3930000066757202), with (0.30000001192092896), my (0.2150000035762787)"
1097,quarantine,Dear Subscriber ur draw 4 å£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062,"txt (4.322000026702881), to (1.156999945640564), of (0.9229999780654907), was (-0.5460000038146973), ur (0.5389999747276306), when (-0.527999997138977), voucher (0.4189999997615814), call (-0.32499998807907104), me (0.17900000512599945), my (0.14399999380111694)"
1105,quarantine,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,"out (2.2990000247955322), your (1.093999981880188), message (1.0920000076293945), for (0.7789999842643738), call (-0.4819999933242798), you (0.3240000009536743), information (0.28999999165534973), in (0.17399999499320984), txt (-0.16500000655651093), me (0.16300000250339508)"
1120,quarantine,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16","txt (4.324999809265137), if (-1.5360000133514404), msg (1.25600004196167), new (0.9049999713897705), to (0.7609999775886536), and (-0.6000000238418579), of (0.4000000059604645), you (0.30000001192092896), call (-0.28999999165534973), 150p (0.2750000059604645)"
1122,quarantine,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,"call (3.1110000610351562), reply (1.3380000591278076), now (1.093999981880188), text (0.9369999766349792), new (0.800000011920929), or (0.6859999895095825), and (-0.4740000069141388), want (0.35199999809265137), me (0.33799999952316284), for (-0.3019999861717224)"
1126,quarantine,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,"txt (3.444999933242798), 500 (1.1770000457763672), mobile (0.8629999756813049), send (0.7720000147819519), you (-0.75), now (0.7239999771118164), for (0.43799999356269836), to (0.42899999022483826), can (-0.40299999713897705), in (-0.382999986410141)"
1129,quarantine,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,"send (1.9819999933242798), now (1.906999945640564), msg (1.5460000038146973), 500 (1.2790000438690186), cash (0.4729999899864197), call (-0.4090000092983246), is (0.37400001287460327), in (-0.21899999678134918), to (0.1899999976158142), my (0.17000000178813934)"
1137,quarantine,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,"call (4.090000152587891), free (1.6019999980926514), for (1.0), you (-0.6129999756813049), dont (0.5979999899864197), me (0.3479999899864197), with (0.34200000762939453), can (-0.2849999964237213), more (0.1940000057220459), as (-0.18799999356269836)"
1142,quarantine,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,"chat (3.055999994277954), send (1.7660000324249268), now (1.6460000276565552), over (1.4149999618530273), or (1.1100000143051147), me (-0.9139999747276306), and (-0.4699999988079071), msg (0.4569999873638153), to (0.382999986410141), 150p (0.2750000059604645)"
1146,quarantine,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832","sms (3.0), reply (2.374000072479248), stop (2.2909998893737793), good (-0.5350000262260437), customer (0.503000020980835), to (0.49000000953674316), no (-0.4350000023841858), call (-0.375), me (0.1679999977350235), your (-0.16500000655651093)"
1163,quarantine,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,"txt (3.9159998893737793), win (2.756999969482422), text (1.2549999952316284), free (0.765999972820282), in (-0.5630000233650208), apply (0.2669999897480011), call (-0.2460000067949295), to (-0.2029999941587448), your (-0.164000004529953), now (-0.15399999916553497)"
1172,quarantine,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!","text (2.9230000972747803), to (1.4249999523162842), or (1.1629999876022339), with (0.7960000038146973), see (0.5220000147819519), call (-0.4000000059604645), in (-0.367000013589859), you (0.26100000739097595), me (0.20900000631809235), what (-0.20800000429153442)"
1194,quarantine,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248,"text (2.759999990463257), free (2.1480000019073486), to (1.2920000553131104), mobile (0.9070000052452087), ur (0.8289999961853027), with (0.7519999742507935), get (0.5139999985694885), up (-0.44699999690055847), call (-0.32199999690055847), you (0.2809999883174896)"
1196,quarantine,You have 1 new voicemail. Please call 08719181503,"call (3.2009999752044678), new (1.496000051498413), have (0.7749999761581421), me (0.3070000112056732), you (-0.2199999988079071), from (-0.17000000178813934), my (0.1469999998807907), txt (-0.13899999856948853), now (-0.11800000071525574), your (-0.10300000011920929)"
1205,quarantine,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,"txt (4.052999973297119), win (2.4019999504089355), to (1.0980000495910645), of (-1.0379999876022339), 500 (0.9729999899864197), ur (0.2919999957084656), call (-0.27900001406669617), me (0.1679999977350235), my (0.15299999713897705), from (-0.15000000596046448)"
1207,quarantine,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr","txt (3.561000108718872), claim (2.1419999599456787), msg (1.5449999570846558), your (0.7509999871253967), ok (-0.6819999814033508), you (0.6119999885559082), get (0.40799999237060547), to (0.36500000953674316), call (-0.3070000112056732), it (-0.30399999022483826)"
1217,quarantine,You have 1 new voicemail. Please call 08719181513.,"call (3.2009999752044678), new (1.496000051498413), have (0.7749999761581421), me (0.3070000112056732), you (-0.2199999988079071), from (-0.17000000178813934), my (0.1469999998807907), txt (-0.13899999856948853), now (-0.11800000071525574), your (-0.10300000011920929)"
1221,quarantine,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,"txt (3.686000108718872), free (1.5049999952316284), reply (1.4110000133514404), now (1.2649999856948853), to (1.0880000591278076), get (0.5019999742507935), so (-0.36899998784065247), 150p (0.2750000059604645), and (0.18400000035762787), me (0.1770000010728836)"
1225,quarantine,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,"claim (3.010999917984009), been (1.2259999513626099), to (0.9769999980926514), or (0.843999981880188), cash (0.550000011920929), call (-0.4869999885559082), you (0.35199999809265137), have (0.19599999487400055), your (-0.17900000512599945), are (-0.17800000309944153)"
1227,quarantine,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p,"free (1.8739999532699585), reply (1.8580000400543213), your (1.7330000400543213), with (0.453000009059906), call (-0.2919999957084656), to (-0.2639999985694885), will (-0.22300000488758087), you (0.19599999487400055), me (0.18000000715255737), at (-0.17800000309944153)"
1229,quarantine,FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,"now (1.9620000123977661), free (1.6979999542236328), send (1.25), to (0.6700000166893005), call (-0.4259999990463257), the (0.2809999883174896), your (-0.23399999737739563), just (-0.19200000166893005), 18 (0.18199999630451202), me (0.1770000010728836)"
1252,quarantine,Please CALL 08712402779 immediately as there is an urgent message waiting for you,"call (3.6470000743865967), message (2.131999969482422), for (0.4359999895095825), there (-0.3449999988079071), me (0.3199999928474426), is (0.3160000145435333), your (-0.30799999833106995), you (0.2930000126361847), as (-0.19099999964237213), my (0.1720000058412552)"
1263,quarantine,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)","call (2.872999906539917), stop (1.5609999895095825), now (1.4019999504089355), to (0.8600000143051147), up (-0.43299999833106995), me (0.32199999690055847), it (-0.22100000083446503), my (0.17100000381469727), your (-0.17000000178813934), from (-0.16200000047683716)"
1307,quarantine,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 097012131,"call (3.691999912261963), help (0.6679999828338623), from (0.5820000171661377), with (0.574999988079071), new (0.5690000057220459), for (0.48399999737739563), get (0.46299999952316284), enjoy (0.4020000100135803), me (0.3880000114440918), more (0.2540000081062317)"
1318,quarantine,"Win the newest ÛÏHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!","win (2.753000020980835), reply (2.372999906539917), to (1.1299999952316284), of (0.5950000286102295), the (-0.4909999966621399), call (-0.38100001215934753), me (0.17299999296665192), txt (-0.16899999976158142), my (0.15600000321865082), from (-0.13699999451637268)"
1328,quarantine,Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,"txt (4.21999979019165), now (1.5880000591278076), 500 (1.218999981880188), to (1.0720000267028809), next (0.9279999732971191), good (-0.5659999847412109), in (-0.546999990940094), call (-0.32199999690055847), me (0.1860000044107437), my (0.17000000178813934)"
1350,quarantine,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk","txt (4.316999912261963), out (1.656000018119812), to (1.0709999799728394), dont (0.843999981880188), call (-0.3050000071525574), of (0.22499999403953552), sexy (0.20600000023841858), me (0.16099999845027924), from (-0.15000000596046448), my (0.14900000393390656)"
1366,quarantine,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k","call (4.311999797821045), now (1.7009999752044678), me (0.3499999940395355), just (-0.2409999966621399), per (0.20999999344348907), your (-0.18700000643730164), my (0.1770000010728836), from (-0.1720000058412552), to (-0.1589999943971634), ltd (0.15700000524520874)"
1374,quarantine,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324","call (2.6440000534057617), chat (2.617000102996826), stop (1.7200000286102295), with (1.0379999876022339), all (0.9259999990463257), and (-0.8809999823570251), in (-0.6470000147819519), me (0.296999990940094), now (-0.1589999943971634), from (-0.15800000727176666)"
1375,quarantine,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION","txt (4.23199987411499), from (1.3179999589920044), to (1.159000039100647), 500 (1.1100000143051147), new (0.8069999814033508), go (-0.4099999964237213), no (-0.40799999237060547), call (-0.31700000166893005), me (0.17900000512599945), now (-0.164000004529953)"
1378,quarantine,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,"call (2.8469998836517334), txt (2.746000051498413), or (1.2790000438690186), for (0.6809999942779541), me (0.33899998664855957), orange (0.29499998688697815), my (0.1679999977350235), your (-0.1469999998807907), now (-0.13600000739097595), you (0.125)"
1380,quarantine,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,"txt (3.686000108718872), free (1.5049999952316284), reply (1.4110000133514404), now (1.2649999856948853), to (1.0880000591278076), get (0.5019999742507935), so (-0.36899998784065247), 150p (0.2750000059604645), and (0.18400000035762787), me (0.1770000010728836)"
1414,quarantine,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,"txt (3.9609999656677246), chat (2.700000047683716), this (0.6589999794960022), call (-0.31299999356269836), to (0.2770000100135803), 150p (0.2750000059604645), been (0.2680000066757202), now (-0.1679999977350235), your (-0.164000004529953), me (0.13300000131130219)"
1423,quarantine,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,"txt (3.885999917984009), free (1.8530000448226929), 500 (1.152999997138977), to (1.0609999895095825), of (0.8899999856948853), ur (0.3790000081062317), call (-0.26899999380111694), me (0.1889999955892563), my (0.14800000190734863), from (-0.13899999856948853)"
1444,quarantine,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,"txt (3.9739999771118164), win (2.4809999465942383), free (1.7410000562667847), or (1.1829999685287476), to (0.843999981880188), cash (0.5350000262260437), call (-0.25600001215934753), me (0.16699999570846558), my (0.15000000596046448), from (-0.12800000607967377)"
1456,quarantine,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,"txt (3.1530001163482666), chat (2.1510000228881836), stop (1.4930000305175781), free (1.3370000123977661), now (1.1100000143051147), reply (1.0820000171661377), to (0.8659999966621399), in (-0.8550000190734863), or (0.8399999737739563), with (0.640999972820282)"
1463,quarantine,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!","call (3.7339999675750732), mobile (1.187999963760376), won (1.034999966621399), to (0.6809999942779541), your (0.5350000262260437), this (0.5289999842643738), you (0.375), me (0.3709999918937683), my (0.22699999809265137), the (0.21299999952316284)"
1466,quarantine,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+","txt (4.4019999504089355), 500 (1.1200000047683716), to (1.0820000171661377), or (0.7649999856948853), you (0.4560000002384186), no (-0.4090000092983246), call (-0.335999995470047), me (0.17100000381469727), my (0.15199999511241913), 150p (0.1469999998807907)"
1492,quarantine,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz","txt (2.924999952316284), text (2.2100000381469727), your (1.680999994277954), free (1.2089999914169312), been (0.8769999742507935), 500 (0.8510000109672546), no (-0.703000009059906), with (0.23600000143051147), call (-0.20900000631809235), just (-0.17599999904632568)"
1502,quarantine,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call","call (3.50600004196167), now (1.7949999570846558), me (0.32600000500679016), is (0.21899999678134918), per (0.20999999344348907), your (-0.18400000035762787), my (0.17900000512599945), from (-0.16599999368190765), ltd (0.15700000524520874), to (-0.1379999965429306)"
1507,quarantine,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,"free (2.2100000381469727), reply (1.8739999532699585), the (-0.8330000042915344), mobile (0.7929999828338623), your (0.7059999704360962), for (0.5419999957084656), now (0.43700000643730164), call (-0.3869999945163727), you (0.20399999618530273), just (-0.1940000057220459)"
1518,quarantine,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,"free (1.9869999885559082), now (1.3029999732971191), service (1.1460000276565552), mobile (1.090999960899353), the (-0.8410000205039978), to (0.7789999842643738), new (0.49900001287460327), from (0.4909999966621399), call (-0.39100000262260437), me (0.21299999952316284)"
1521,quarantine,"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate","call (3.864000082015991), your (1.5049999952316284), mobile (1.2330000400543213), to (0.8140000104904175), was (-0.6389999985694885), this (0.5239999890327454), no (-0.43299999833106995), you (0.38600000739097595), me (0.36899998784065247), my (0.2199999988079071)"
1536,quarantine,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,"win (2.4590001106262207), send (1.7910000085830688), free (1.7669999599456787), you (-1.1829999685287476), won (1.1330000162124634), now (1.1100000143051147), this (0.9229999780654907), when (-0.5040000081062317), what (-0.460999995470047), get (0.3569999933242798)"
1544,quarantine,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow","free (2.117000102996826), from (1.0470000505447388), to (0.6980000138282776), and (-0.6830000281333923), reply (0.5860000252723694), games (0.4819999933242798), call (-0.38499999046325684), apply (0.3529999852180481), orange (0.29499998688697815), txt (-0.18000000715255737)"
1573,quarantine,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,"send (2.427000045776367), now (2.002000093460083), msg (1.4869999885559082), 500 (1.2790000438690186), in (-0.5429999828338623), cash (0.4729999899864197), call (-0.39399999380111694), is (0.36899998784065247), go (-0.296999990940094), my (0.17100000381469727)"
1574,quarantine,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,"txt (3.819000005722046), sms (1.9869999885559082), now (1.437000036239624), free (1.3359999656677246), to (1.0299999713897705), new (0.4690000116825104), call (-0.2680000066757202), up (-0.21699999272823334), your (-0.18000000715255737), me (0.17299999296665192)"
1594,quarantine,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,"call (4.179999828338623), your (2.0369999408721924), for (1.3609999418258667), me (0.36800000071525574), my (0.18299999833106995), you (0.15299999713897705), now (-0.15299999713897705), in (0.13500000536441803), from (-0.11500000208616257), txt (-0.11400000005960464)"
1597,quarantine,As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,"txt (4.556000232696533), to (1.2450000047683716), next (0.9980000257492065), of (0.6890000104904175), voucher (0.4189999997615814), when (-0.4189999997615814), call (-0.3370000123977661), the (0.2240000069141388), me (0.1860000044107437), my (0.1550000011920929)"
1598,quarantine,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,"call (3.369999885559082), claim (1.8509999513626099), mobile (1.0080000162124634), been (0.902999997138977), from (0.7509999871253967), number (0.40700000524520874), me (0.3930000066757202), with (0.37599998712539673), my (0.2150000035762787), you (-0.15800000727176666)"
1613,quarantine,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,"call (4.432000160217285), or (1.3660000562667847), need (-0.5870000123977661), enjoy (0.38100001215934753), help (0.34700000286102295), you (0.3440000116825104), me (0.34200000762939453), at (-0.1850000023841858), your (-0.17399999499320984), my (0.1599999964237213)"
1623,quarantine,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,"call (3.069999933242798), out (1.840000033378601), so (-0.9279999732971191), with (0.8420000076293945), ur (0.5950000286102295), they (0.49399998784065247), is (0.3840000033378601), have (0.31200000643730164), me (0.2919999957084656), on (0.17100000381469727)"
1628,quarantine,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth å£350! To Claim, Call London 02072069400. Bx 526, SW73SS","call (3.5989999771118164), claim (2.1689999103546143), been (1.3569999933242798), for (0.6600000262260437), in (-0.6570000052452087), to (-0.4480000138282776), me (0.3400000035762787), of (-0.31700000166893005), you (0.2939999997615814), your (-0.18799999356269836)"
1640,quarantine,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,"txt (3.7260000705718994), stop (2.0460000038146973), or (1.3229999542236328), reply (1.1339999437332153), my (-1.0180000066757202), me (-0.5820000171661377), like (0.18299999833106995), to (-0.1289999932050705), now (-0.12800000607967377), text (-0.10300000011920929)"
1653,quarantine,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk","txt (4.388999938964844), win (3.0409998893737793), for (1.149999976158142), cash (0.48899999260902405), call (-0.26899999380111694), to (-0.22200000286102295), your (-0.20000000298023224), now (-0.15299999713897705), ur (0.14300000667572021), me (0.14300000667572021)"
1659,quarantine,RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,"call (2.9509999752044678), won (1.218000054359436), this (0.8600000143051147), me (0.30300000309944153), have (0.25999999046325684), your (-0.20000000298023224), my (0.18000000715255737), is (0.16200000047683716), to (-0.1509999930858612), now (-0.14900000393390656)"
1663,quarantine,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL,"chat (2.7200000286102295), free (2.2079999446868896), if (-1.6519999504089355), now (1.5410000085830688), all (0.9290000200271606), next (0.8299999833106995), call (-0.40700000524520874), ur (0.3959999978542328), time (-0.3930000066757202), me (0.17599999904632568)"
1673,quarantine,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,"call (3.7320001125335693), claim (2.260999917984009), won (1.0210000276565552), from (0.781000018119812), to (0.718999981880188), you (0.5389999747276306), that (-0.48899999260902405), me (0.37400001287460327), we (-0.27399998903274536), my (0.18299999833106995)"
1688,quarantine,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,"sms (2.440999984741211), ringtone (1.9149999618530273), stop (1.8619999885559082), send (1.2350000143051147), free (1.2319999933242798), call (-0.32899999618530273), get (-0.2540000081062317), per (0.20999999344348907), your (-0.19200000166893005), now (-0.1720000058412552)"
1691,quarantine,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,"txt (4.2870001792907715), win (2.5290000438690186), to (1.0069999694824219), in (-0.625), call (-0.30399999022483826), is (-0.21400000154972076), know (-0.1940000057220459), me (0.16099999845027924), my (0.15800000727176666), the (0.15700000524520874)"
